Location,Reports,Status,Source,TV,Date/Time collected,Provider,E-mail,Internet,Wi-fi,Total Blackout
"Chicago, IL",204, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Philadelphia, PA",111, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Brooklyn, NY",71, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"New York City, NY",58, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Washington, D.C., DC",49, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Hampstead, MD",30, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Silver Spring, MD",30, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Boston, MA",28, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"The Bronx, NY",28, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Allentown, PA",25, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Columbia, MD",24, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Flushing, NY",21, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Bethlehem, PA",20, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Hyattsville, MD",13, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Somerville, MA",12, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
