Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Norcross, GA",215, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Arlington, TX",213, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Durham, NC",205, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Trenton, MI",204, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Nashville, TN",195, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Saint Paul, MN",188, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Waianae, HI",169, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Plano, TX",160, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Denver, CO",157, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Portland, OR",157, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Birmingham, AL",152, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
