Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:05
burnsville,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:05
preston,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:05
madison,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:05
cedar-rapids,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:05
marion,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:05
bedford,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:05
monticello,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:05
waterloo,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:05
spruce-pine,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:05
