Location,Bad signal ,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:55:48
albuquerque,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:55:48
seattle,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:55:48
chicago,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:55:48
spokane,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:55:48
phoenix,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:55:48
portland,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:55:48
minneapolis,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:55:48
boise,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:55:48
kennewick,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:55:48
