Location,internet ,Status,Provider,Source,Date collected,Time collected
huntsville,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:28:14
charlotte,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:28:14
atlanta,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:28:14
madison,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:28:14
kansas-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:28:14
orlando,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:28:14
phenix-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:28:14
saint-louis,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:28:14
houston,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:28:14
dayton,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:28:14
