Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:08
minneapolis,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:08
phoenix,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:08
seattle,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:08
portland,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:08
albuquerque,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:08
dallas,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:08
boise,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:08
des-moines,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:08
saint-paul,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:08
