Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
houston,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
brooklyn,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
phoenix,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
dayton,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
tampa,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
sumter,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
greenville,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
garland,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
tempe,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
