Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,7%,71%,20%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:10:49
chicago,7%,71%,20%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:10:49
los-angeles,7%,71%,20%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:10:49
houston,7%,71%,20%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:10:49
brooklyn,7%,71%,20%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:10:49
milwaukee,7%,71%,20%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:10:49
new-york,7%,71%,20%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:10:49
saint-louis,7%,71%,20%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:10:49
dayton,7%,71%,20%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:10:49
medford,7%,71%,20%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:10:49
