Location,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:47:52
sumter,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:47:52
houston,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:47:52
chicago,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:47:52
atlanta,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:47:52
los-angeles,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:47:52
phoenix,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:47:52
milwaukee,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:47:52
orlando,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:47:52
new-york,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:47:52
