Location,Bad signal ,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,,25%,27%,46%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:51:59
houston,,25%,27%,46%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:51:59
new-york,,25%,27%,46%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:51:59
el-centro,,25%,27%,46%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:51:59
brooklyn,,25%,27%,46%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:51:59
chicago,,25%,27%,46%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:51:59
pompano-beach,,25%,27%,46%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:51:59
salt-lake-city,,25%,27%,46%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:51:59
dallas,,25%,27%,46%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:51:59
seattle,,25%,27%,46%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:51:59
