Location,Bad signal ,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:51
sumter,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:51
houston,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:51
chicago,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:51
atlanta,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:51
los-angeles,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:51
phoenix,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:51
milwaukee,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:51
orlando,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:51
new-york,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:51
