Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:16
dallas,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:16
los-angeles,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:16
long-beach,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:16
carrollton,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:16
chicago,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:16
fort-wayne,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:16
plano,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:16
sarasota,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:16
portland,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:16
