Location,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:28:14
houston,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:28:14
new-york,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:28:14
el-centro,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:28:14
brooklyn,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:28:14
chicago,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:28:14
pompano-beach,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:28:14
salt-lake-city,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:28:14
dallas,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:28:14
seattle,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:28:14
