Location,internet ,Status,Provider,Source,Date collected,Time collected
boise,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:36:46
houston,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:36:46
phoenix,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:36:46
meridian,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:36:46
idaho-falls,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:36:46
pocatello,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:36:46
rio-rancho,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:36:46
sioux-city,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:36:46
prescott,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:36:46
dallas,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:36:46
