Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Bridgeport, CT",15, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Fort Wayne, IN",15, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Sarasota, FL",15, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Minneapolis, MN",14, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Arlington, TX",13, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Fontana, CA",13, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Canton, GA",13, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Auburn, WA",13, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Hollywood, FL",13, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"St. Petersburg, FL",13, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
