Location,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:15:02
concord,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:15:02
lexington,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:15:02
atlanta,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:15:02
norcross,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:15:02
houston,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:15:02
grayson,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:15:02
dallas,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:15:02
blairsville,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:15:02
chicago,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:15:02
