Location,internet ,Status,Provider,Source,Date collected,Time collected
huntsville,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:16
charlotte,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:16
atlanta,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:16
madison,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:16
kansas-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:16
orlando,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:16
phenix-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:16
saint-louis,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:16
houston,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:16
dayton,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:16
