Location,Bad signal ,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:05
sumter,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:05
houston,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:05
chicago,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:05
atlanta,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:05
los-angeles,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:05
phoenix,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:05
milwaukee,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:05
orlando,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:05
new-york,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:05
