Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:37:59
bronx,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:37:59
new-york,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:37:59
corona,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:37:59
stamford,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:37:59
newark,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:37:59
bayonne,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:37:59
bridgeport,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:37:59
new-rochelle,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:37:59
wayne,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:37:59
