Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Dallas, TX",26, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Brooklyn, NY",24, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Houston, TX",19, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"San Antonio, TX",19, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Downey, CA",16, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Salem, OR",12, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Denver, CO",10, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Chicago, IL",10, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Los Angeles, CA",9, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Austin, TX",9, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"El Centro, CA",8, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Fort Worth, TX",7, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Ocala, FL",7, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Tampa, FL",6, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Kansas City, MO",6, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Anderson, SC",6, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Phoenix, AZ",6, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Burlington, NC",6, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Portland, OR",5, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
"Milwaukee, WI",5, No problems detected ,72.81%,1.89%,Thu 21 Mar 2019 19:12:30,Cricket-Wireless,Is the service down,2.60%,13.00%,.71%,8.98%
