Location,Bad signal ,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:51
dallas,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:51
los-angeles,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:51
long-beach,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:51
carrollton,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:51
chicago,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:51
fort-wayne,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:51
plano,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:51
sarasota,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:51
portland,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:51
