Current time/data,How long ago,Issue,Location,Provider,Reports in last 20 minutes,Source
Wed 27 Feb 2019 23:20:08,2h,TV channels not working,"Folsom, CA",Xfinity,1,outage
Wed 27 Feb 2019 23:20:08,2h,Everything is down,not recognized,Xfinity,1,outage
Wed 27 Feb 2019 23:20:08,2h,Everything is down,"Tampa, FL",Xfinity,1,outage
Wed 27 Feb 2019 23:20:08,1h,Internet down,not recognized,Xfinity,1,outage
Wed 27 Feb 2019 23:20:08,52m,-,not recognized,Xfinity,1,outage
Wed 27 Feb 2019 23:20:08,4m,TV channels not working,"Rosenberg, TX",Xfinity,1,outage
