Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:33:10
dallas,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:33:10
los-angeles,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:33:10
long-beach,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:33:10
carrollton,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:33:10
chicago,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:33:10
fort-wayne,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:33:10
plano,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:33:10
sarasota,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:33:10
portland,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:33:10
