Location,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:15:02
albuquerque,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:15:02
seattle,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:15:02
chicago,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:15:02
spokane,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:15:02
phoenix,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:15:02
portland,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:15:02
minneapolis,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:15:02
boise,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:15:02
kennewick,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:15:02
