Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:16
burnsville,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:16
preston,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:16
madison,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:16
cedar-rapids,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:16
marion,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:16
bedford,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:16
monticello,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:16
waterloo,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:16
spruce-pine,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:16
