Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:15:02
dallas,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:15:02
los-angeles,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:15:02
long-beach,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:15:02
carrollton,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:15:02
chicago,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:15:02
fort-wayne,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:15:02
plano,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:15:02
sarasota,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:15:02
portland,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:15:02
