Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:15:02
allentown,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:15:02
bethlehem,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:15:02
new-york,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:15:02
washington,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:15:02
easton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:15:02
corona,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:15:02
northampton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:15:02
whitehall,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:15:02
somerville,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:15:02
