Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,11%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:10:49
bronx,11%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:10:49
new-york,11%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:10:49
corona,11%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:10:49
stamford,11%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:10:49
newark,11%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:10:49
bayonne,11%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:10:49
bridgeport,11%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:10:49
new-rochelle,11%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:10:49
wayne,11%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:10:49
