Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,20:19,10.93,19:12:30,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,01:09,8.66,19:12:30,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,06:41,12.78,19:12:30,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,13:11,8.74,19:12:30,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,20:44,7.0,19:12:30,Thu 21 Mar 2019,Is it down right now?,T-Mobile
20.Mar.2019,23:09,8.47,19:12:30,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,03:10,7.04,19:12:30,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,10:32,7.17,19:12:30,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,16:58,7.85,19:12:30,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,22:55,7.46,19:12:30,Thu 21 Mar 2019,Is it down right now?,T-Mobile
