Location,internet ,Status,Provider,Source,Date collected,Time collected
huntsville,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:10:49
charlotte,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:10:49
atlanta,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:10:49
madison,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:10:49
kansas-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:10:49
orlando,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:10:49
phenix-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:10:49
saint-louis,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:10:49
houston,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:10:49
dayton,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:10:49
