Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:08
new-york,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:08
dallas,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:08
houston,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:08
san-marcos,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:08
kansas-city,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:08
los-angeles,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:08
brooklyn,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:08
saint-louis,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:08
phoenix,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:08
