0,1,2,3,4,5,6,7
Date,Time,Ping Time,,Date,Time,Ping Time,
28.Jan.2019,15:31,5.31 ms.,,28.Jan.2019,21:09,5.48 ms.,
28.Jan.2019,23:38,5.82 ms.,,29.Jan.2019,02:44,5.64 ms.,
29.Jan.2019,05:41,5.48 ms.,,29.Jan.2019,08:20,5.42 ms.,
29.Jan.2019,14:37,5.31 ms.,,29.Jan.2019,16:52,5.35 ms.,
29.Jan.2019,19:14,5.66 ms.,,29.Jan.2019,21:59,5.5 ms.,
