Date/Time collected,E-mail,Internet,Location,Phone,Provider,Reports,Source,Status,TV,Total Blackout,Wi-fi
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"West Valley City, UT",8.69%,CenturyLink,32,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Tampa, FL",8.69%,CenturyLink,32,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Irvine, CA",8.69%,CenturyLink,31,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Bothell, WA",8.69%,CenturyLink,30,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Herriman, UT",8.69%,CenturyLink,29,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Lincoln, NE",8.69%,CenturyLink,27,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Tucson, AZ",8.69%,CenturyLink,26,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Mesa, AZ",8.69%,CenturyLink,26,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Salem, OR",8.69%,CenturyLink,25,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Oregon, WI",8.69%,CenturyLink,25,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Whitewater, WI",8.69%,CenturyLink,24,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Naples, FL",62.46%,Verizon,685,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Washington, D.C., DC",62.46%,Verizon,373,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Philadelphia, PA",62.46%,Verizon,356,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Brooklyn, NY",62.46%,Verizon,331,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"New York City, NY",62.46%,Verizon,253,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"East Lansing, MI",62.46%,Verizon,176,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Silver Spring, MD",62.46%,Verizon,168,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Los Angeles, CA",62.46%,Verizon,148,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Columbia, MD",62.46%,Verizon,143,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Charlotte, NC",62.46%,Verizon,126,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Baltimore, MD",62.46%,Verizon,125,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Hampstead, MD",62.46%,Verizon,121,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Atlanta, GA",62.46%,Verizon,120,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Pittsburgh, PA",62.46%,Verizon,111,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Alexandria, VA",62.46%,Verizon,107,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"The Bronx, NY",62.46%,Verizon,107,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Houston, TX",62.46%,Verizon,104,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Tampa, FL",62.46%,Verizon,95,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Denver, CO",62.46%,Verizon,91,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Chicago, IL",62.46%,Verizon,86,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Dallas, TX",62.46%,Verizon,85,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Buffalo, NY",62.46%,Verizon,84,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Richmond, VA",62.46%,Verizon,72,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Boston, MA",62.46%,Verizon,70,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Seattle, WA",62.46%,Verizon,66,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Minneapolis, MN",62.46%,Verizon,63,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Detroit, MI",62.46%,Verizon,63,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Hyattsville, MD",62.46%,Verizon,63,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Howell, MI",62.46%,Verizon,56,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Flushing, NY",62.46%,Verizon,55,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Raleigh, NC",62.46%,Verizon,52,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Long Beach, CA",62.46%,Verizon,52,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Phoenix, AZ",62.46%,Verizon,51,Is the service down, Problems detected ,3.05%,3.54%,3.81%
