Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
21.Mar.2019,12:46,16.29,11:54:55,Thu 21 Mar 2019,Is it down right now?,DirecTV
20.Mar.2019,04:56,16.52,11:54:55,Thu 21 Mar 2019,Is it down right now?,DirecTV
20.Mar.2019,14:28,7.85,11:54:55,Thu 21 Mar 2019,Is it down right now?,DirecTV
20.Mar.2019,22:58,6.89,11:54:55,Thu 21 Mar 2019,Is it down right now?,DirecTV
21.Mar.2019,04:35,17.14,11:54:55,Thu 21 Mar 2019,Is it down right now?,DirecTV
21.Mar.2019,15:08,6.88,11:54:55,Thu 21 Mar 2019,Is it down right now?,DirecTV
20.Mar.2019,13:34,6.12,13:05:46,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,17:51,5.12,13:05:46,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,23:07,10.35,13:05:46,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,03:50,5.14,13:05:46,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,11:17,5.34,13:05:46,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,15:47,5.55,13:05:46,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,20:52,6.37,13:05:46,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,01:20,5.48,13:05:46,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,06:05,6.04,13:05:46,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,15:10,5.0,13:05:46,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,11:40,11.35,13:05:46,Thu 21 Mar 2019,Is it down right now?,Verizon
20.Mar.2019,16:11,11.58,13:05:46,Thu 21 Mar 2019,Is it down right now?,Verizon
20.Mar.2019,21:17,11.1,13:05:46,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,09:19,11.0,13:05:46,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,14:22,11.24,13:05:46,Thu 21 Mar 2019,Is it down right now?,Verizon
20.Mar.2019,14:02,11.51,13:05:46,Thu 21 Mar 2019,Is it down right now?,Verizon
20.Mar.2019,18:43,11.16,13:05:46,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,06:18,12.83,13:05:46,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,12:12,11.13,13:05:46,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,16:37,11.29,13:05:46,Thu 21 Mar 2019,Is it down right now?,Verizon
20.Mar.2019,01:55,92.0,13:36:47,Thu 21 Mar 2019,Is it down right now?,CenturyLink
20.Mar.2019,13:09,73.03,13:36:47,Thu 21 Mar 2019,Is it down right now?,CenturyLink
20.Mar.2019,19:21,74.56,13:36:47,Thu 21 Mar 2019,Is it down right now?,CenturyLink
21.Mar.2019,03:14,69.02,13:36:47,Thu 21 Mar 2019,Is it down right now?,CenturyLink
21.Mar.2019,14:15,87.15,13:36:47,Thu 21 Mar 2019,Is it down right now?,CenturyLink
20.Mar.2019,06:16,91.58,13:36:47,Thu 21 Mar 2019,Is it down right now?,CenturyLink
20.Mar.2019,16:37,93.89,13:36:47,Thu 21 Mar 2019,Is it down right now?,CenturyLink
20.Mar.2019,21:40,88.88,13:36:47,Thu 21 Mar 2019,Is it down right now?,CenturyLink
21.Mar.2019,06:28,87.44,13:36:47,Thu 21 Mar 2019,Is it down right now?,CenturyLink
21.Mar.2019,16:19,91.97,13:36:47,Thu 21 Mar 2019,Is it down right now?,CenturyLink
19.Mar.2019,11:35,6.34,11:54:55,Thu 21 Mar 2019,Is it down right now?,MetroPCS
19.Mar.2019,18:34,10.35,11:54:55,Thu 21 Mar 2019,Is it down right now?,MetroPCS
20.Mar.2019,02:10,5.2,11:54:55,Thu 21 Mar 2019,Is it down right now?,MetroPCS
20.Mar.2019,17:15,5.39,11:54:55,Thu 21 Mar 2019,Is it down right now?,MetroPCS
20.Mar.2019,23:36,4.94,11:54:55,Thu 21 Mar 2019,Is it down right now?,MetroPCS
19.Mar.2019,15:46,4.89,11:54:55,Thu 21 Mar 2019,Is it down right now?,MetroPCS
19.Mar.2019,22:21,8.79,11:54:55,Thu 21 Mar 2019,Is it down right now?,MetroPCS
20.Mar.2019,11:52,5.04,11:54:55,Thu 21 Mar 2019,Is it down right now?,MetroPCS
20.Mar.2019,19:50,5.66,11:54:55,Thu 21 Mar 2019,Is it down right now?,MetroPCS
21.Mar.2019,02:23,4.96,11:54:55,Thu 21 Mar 2019,Is it down right now?,MetroPCS
20.Mar.2019,03:40,74.46,13:05:46,Thu 21 Mar 2019,Is it down right now?,Frontier
20.Mar.2019,15:33,92.27,13:05:46,Thu 21 Mar 2019,Is it down right now?,Frontier
20.Mar.2019,22:24,74.4,13:05:46,Thu 21 Mar 2019,Is it down right now?,Frontier
21.Mar.2019,04:24,79.57,13:05:46,Thu 21 Mar 2019,Is it down right now?,Frontier
21.Mar.2019,09:31,76.35,13:05:46,Thu 21 Mar 2019,Is it down right now?,Frontier
20.Mar.2019,13:11,77.22,13:05:46,Thu 21 Mar 2019,Is it down right now?,Frontier
20.Mar.2019,18:46,86.41,13:05:46,Thu 21 Mar 2019,Is it down right now?,Frontier
21.Mar.2019,01:04,79.27,13:05:46,Thu 21 Mar 2019,Is it down right now?,Frontier
21.Mar.2019,07:10,77.51,13:05:46,Thu 21 Mar 2019,Is it down right now?,Frontier
21.Mar.2019,15:36,75.8,13:05:46,Thu 21 Mar 2019,Is it down right now?,Frontier
20.Mar.2019,18:57,5.53,13:36:47,Thu 21 Mar 2019,Is it down right now?,att
20.Mar.2019,23:35,5.52,13:36:47,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,03:58,5.54,13:36:47,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,09:41,5.7,13:36:47,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,13:58,6.28,13:36:47,Thu 21 Mar 2019,Is it down right now?,att
20.Mar.2019,21:29,5.09,13:36:47,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,01:35,5.11,13:36:47,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,06:31,5.21,13:36:47,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,11:45,5.4,13:36:47,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,16:01,5.17,13:36:47,Thu 21 Mar 2019,Is it down right now?,att
20.Mar.2019,18:57,5.53,13:05:46,Thu 21 Mar 2019,Is it down right now?,att
20.Mar.2019,23:35,5.52,13:05:46,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,03:58,5.54,13:05:46,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,09:41,5.7,13:05:46,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,13:58,6.28,13:05:46,Thu 21 Mar 2019,Is it down right now?,att
20.Mar.2019,21:29,5.09,13:05:46,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,01:35,5.11,13:05:46,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,06:31,5.21,13:05:46,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,11:45,5.4,13:05:46,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,16:01,5.17,13:05:46,Thu 21 Mar 2019,Is it down right now?,att
05.Mar.2019,12:07,82.29,11:54:55,Thu 21 Mar 2019,Is it down right now?,windstream
07.Mar.2019,23:26,75.67,11:54:55,Thu 21 Mar 2019,Is it down right now?,windstream
12.Mar.2019,22:01,73.49,11:54:55,Thu 21 Mar 2019,Is it down right now?,windstream
15.Mar.2019,12:09,73.48,11:54:55,Thu 21 Mar 2019,Is it down right now?,windstream
20.Mar.2019,18:57,70.24,11:54:55,Thu 21 Mar 2019,Is it down right now?,windstream
07.Mar.2019,18:43,81.93,11:54:55,Thu 21 Mar 2019,Is it down right now?,windstream
09.Mar.2019,14:39,69.43,11:54:55,Thu 21 Mar 2019,Is it down right now?,windstream
14.Mar.2019,08:46,67.57,11:54:55,Thu 21 Mar 2019,Is it down right now?,windstream
18.Mar.2019,15:23,73.39,11:54:55,Thu 21 Mar 2019,Is it down right now?,windstream
21.Mar.2019,01:09,69.38,11:54:55,Thu 21 Mar 2019,Is it down right now?,windstream
20.Mar.2019,15:51,7.08,13:36:47,Thu 21 Mar 2019,Is it down right now?,T-Mobile
20.Mar.2019,20:19,10.93,13:36:47,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,01:09,8.66,13:36:47,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,06:41,12.78,13:36:47,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,13:11,8.74,13:36:47,Thu 21 Mar 2019,Is it down right now?,T-Mobile
20.Mar.2019,18:03,8.51,13:36:47,Thu 21 Mar 2019,Is it down right now?,T-Mobile
20.Mar.2019,23:09,8.47,13:36:47,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,03:10,7.04,13:36:47,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,10:32,7.17,13:36:47,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,16:58,7.85,13:36:47,Thu 21 Mar 2019,Is it down right now?,T-Mobile
26.Feb.2019,11:31,56.3,11:54:55,Thu 21 Mar 2019,Is it down right now?,RCN
28.Feb.2019,23:20,54.6,11:54:55,Thu 21 Mar 2019,Is it down right now?,RCN
06.Mar.2019,01:35,39.62,11:54:55,Thu 21 Mar 2019,Is it down right now?,RCN
11.Mar.2019,12:04,34.74,11:54:55,Thu 21 Mar 2019,Is it down right now?,RCN
14.Mar.2019,16:32,39.8,11:54:55,Thu 21 Mar 2019,Is it down right now?,RCN
