Date collected,Location,Provider,Source,Status,Time collected,bad signal ,internet ,landline internet ,limited channels ,mobile internet ,mobile phone ,no network or reception ,no signal ,no tv ,online viewing ,phone ,total blackout ,tv 
Thu 21 Mar 2019,los-angeles,Bright-House-Networks,Down detector,No problems,13:12:16,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,houston,Bright-House-Networks,Down detector,No problems,13:12:16,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,brooklyn,Bright-House-Networks,Down detector,No problems,13:12:16,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,milwaukee,Bright-House-Networks,Down detector,No problems,13:12:16,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,new-york,Bright-House-Networks,Down detector,No problems,13:12:16,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,saint-louis,Bright-House-Networks,Down detector,No problems,13:12:16,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,dayton,Bright-House-Networks,Down detector,No problems,13:12:16,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,medford,Bright-House-Networks,Down detector,No problems,13:12:16,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,brooklyn,Atlantic-Broadband,Down detector,No problems,13:12:08,,90%,,,,,,,,,,10%,
Thu 21 Mar 2019,evington,Atlantic-Broadband,Down detector,No problems,13:12:08,,90%,,,,,,,,,,10%,
Thu 21 Mar 2019,bethel,Atlantic-Broadband,Down detector,No problems,13:12:08,,90%,,,,,,,,,,10%,
Thu 21 Mar 2019,cumberland,Atlantic-Broadband,Down detector,No problems,13:12:08,,90%,,,,,,,,,,10%,
Thu 21 Mar 2019,bedford,Atlantic-Broadband,Down detector,No problems,13:12:08,,90%,,,,,,,,,,10%,
Thu 21 Mar 2019,johnstown,Atlantic-Broadband,Down detector,No problems,13:12:08,,90%,,,,,,,,,,10%,
Thu 21 Mar 2019,bradford,Atlantic-Broadband,Down detector,No problems,13:12:08,,90%,,,,,,,,,,10%,
Thu 21 Mar 2019,randallstown,Atlantic-Broadband,Down detector,No problems,13:12:08,,90%,,,,,,,,,,10%,
Thu 21 Mar 2019,bowie,Atlantic-Broadband,Down detector,No problems,13:12:08,,90%,,,,,,,,,,10%,
Thu 21 Mar 2019,lexington-park,Atlantic-Broadband,Down detector,No problems,13:12:08,,90%,,,,,,,,,,10%,
Thu 21 Mar 2019,norcross,Cricket-Wireless,Down detector,No problems,11:54:55,,,,,11%,,,,,,64%,23%,
Thu 21 Mar 2019,houston,Cricket-Wireless,Down detector,No problems,11:54:55,,,,,11%,,,,,,64%,23%,
Thu 21 Mar 2019,brooklyn,Cricket-Wireless,Down detector,No problems,11:54:55,,,,,11%,,,,,,64%,23%,
Thu 21 Mar 2019,phoenix,Cricket-Wireless,Down detector,No problems,11:54:55,,,,,11%,,,,,,64%,23%,
Thu 21 Mar 2019,dayton,Cricket-Wireless,Down detector,No problems,11:54:55,,,,,11%,,,,,,64%,23%,
Thu 21 Mar 2019,tampa,Cricket-Wireless,Down detector,No problems,11:54:55,,,,,11%,,,,,,64%,23%,
Thu 21 Mar 2019,sumter,Cricket-Wireless,Down detector,No problems,11:54:55,,,,,11%,,,,,,64%,23%,
Thu 21 Mar 2019,greenville,Cricket-Wireless,Down detector,No problems,11:54:55,,,,,11%,,,,,,64%,23%,
Thu 21 Mar 2019,garland,Cricket-Wireless,Down detector,No problems,11:54:55,,,,,11%,,,,,,64%,23%,
Thu 21 Mar 2019,tempe,Cricket-Wireless,Down detector,No problems,11:54:55,,,,,11%,,,,,,64%,23%,
Thu 21 Mar 2019,tampa,Frontier,Down detector,No problems,13:12:11,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,dallas,Frontier,Down detector,No problems,13:12:11,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,los-angeles,Frontier,Down detector,No problems,13:12:11,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,long-beach,Frontier,Down detector,No problems,13:12:11,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,carrollton,Frontier,Down detector,No problems,13:12:11,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,chicago,Frontier,Down detector,No problems,13:12:11,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,fort-wayne,Frontier,Down detector,No problems,13:12:11,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,plano,Frontier,Down detector,No problems,13:12:11,,83%,,,,,,,,,8%,8%,
