Internet,Phone,Nonetworkorreception,Nonetworkorreception,Time/date,Source,Provider
55,28,16,16,Thu 21 Feb 2019 16:30:59,downdetector,statusatt
53,29,16,16,Thu 21 Feb 2019 19:42:57,downdetector,statusatt
